item_no,property_no,acquisition_date,measurement_unit,quantity,particulars, unit_cost ,remarks,end_user,status
13,2019-1002,2020-01-02,30,1,"Pedestal steel Cabinet, small size","14,550.00",from: R. Liwaliw,396,Active
14,2022-522,2022-09-30,17,1,"Keyboard, A4Tech",400,,396,Active
15,2022-559,2022-09-30,17,1,"Mouse, A4Tech",150,,396,Active
16,2022-705,2022-12-09,30,1,"Laptop, Acer Travelmate P2","42,800.00",,396,Active
17,2022-726,2022-12-23,30,1,CPU Assembled,"40,700.00",,396,Active
18,2022-324,2022-05-26,30,1,"UPS, APC 1000VA","5,900.00",,396,Active
19,2019-512,2019-06-21,17,1,Pocket Wifi communication sysrem: LTE FDD/LTE Huawei 35573,"3,445.00",from: C. Caluza,396,Active
20,2020-076,2020-01-20,30,1,"File Cabinet, 2 drawers, with lock","12,300.00",from: C. Caluza,396,Active
21,2023-600,2023-10-17,17,1,"Swivel Chair, Acer LK-810 Predator Gaming Chair","5,000.00",,396,Active
22,2023-601,2023-10-17,17,1,"Computer's Central Processing Unit, Intel i7-12700","38,400.00",,396,Active
23,2023-602,2023-10-17,17,1,"UPS, AWP","5,500.00",,396,Active
24,2023-603,2023-10-17,17,1,"Monitor, AOC 23.8""","5,850.00",,396,Active
25,2023-604,2023-10-17,17,1,"Keyboard and Mouse, Logitech MK200",900,,396,Active
26,"2023-811,2023-812",2023-12-06,17,2,"Stapler, standard type, Joy Brand",125,,396,Active
27,2023-797,2023-11-24,17,1,"Portable Projector with white screen, Epson X51","32,550.00",,396,Active
28,2023-798,2023-11-24,17,1,"Wireless Presentation Clicker Remote, Logitech R800","3,600.00",,396,Active
29,2023-778,2023-12-04,17,1,"Extension Wheel, Omni 10M","1,380.00",,396,Active
30,2023-777,2023-12-04,17,1,"Puncher, 2 hole, MGK, Blue",160,,396,Active
31,2023-862,2023-12-06,30,1,"Printer, Epson L5290","14,200.00",,396,Active
32,2024-062,2024-01-03,17,1,"Laptop, MSI G43 Core i7, 15.6""","49,700.00",,396,Active
33,2023-930,2023-12-27,30,1,"Document Scanner, Epson ES-60W","8,495.00",,396,Active
34,2023-929,2023-12-22,17,1,"Printer, Brother T720W","15,500.00",,396,Active
35,"2024-205,2024-206,2024-207",2024-01-23,17,1,"Smartphone, Samsung Galaxy A14 5G 6GB/128GB","14,500.00",,396,Active
36,2024-211,2024-01-24,17,1,"Swivel Chair, High Back, Leatherette, Black, Chrome Base Jersey JS-289","4,485.00",,396,Active
37,2024-286,2024-01-18,17,1,"Stapler, standard type, SQI Brand",165,,396,Active
38,SPHV-2024-02-293,2024-02-08,30,1,"Portable Tablet, Samsung S9 fe+, 12.4 inches, w/ book cover, keyboard and adapter","46,000.00",,396,Active
39,SPHV-2024-03-480,2024-03-12,17,1,"Camera 360, Intax 360 X3","38,000.00",,396,Active
40,2023-431,NULL,30,1,"Office Table, With drawers and cabinet with lock","9,000.00",,396,Active
41,SPHV-2024-08-769,2024-08-05,30,1,"Printer, Epson L5290","20,950.00",,396,Active
42,SPLV-2024-07-755,2024-07-30,17,1,"HDMI Cable, Dtech 8K","4,995.00",,396,Active
43,SPHV-2024-08-773,2024-07-30,30,1,"Wireless Microphone System, VM200, JBL","24,999.00",,396,Active
44,SPLV-2024-08-772,2024-08-07,17,1,"HDMI Splitter, 4K 4x1","1,450.00",,396,Active
45,SPHV-2024-10-960,2024-10-09,17,1,DSLR Camera (Body Only),"49,990.00",,396,Active
46,SPHV-2024-11-982,2024-10-21,30,1,"DSLR Camera Lens, Tamron B061","34,990.00",,396,Active
47,SPHV-2024-12-1140,2024-12-13,17,1,"Swivel Chair, executive faux leather, high back, with arm rest, 5 metal feet and wheels, heavy duty, tilt lock mechanism, adjustable, F005","6,895.00",,396,Active
1,2018-019,2017-12-19,30,1,"Water Dispenser, Hot, Cold and Normal (Hyundai HWD303C)","6,995.00",,135,Active
2,2019-659,2019-08-19,30,1,"Tablet, Built-in Convenient Stylus Pen, Samsung Tab A w/ Sign Pen, P335","14,990.00",,135,Active
3,2019-788,2019-10-30,30,1,"Voice recorder,4gb built-in memory, USB connection charging, Sony","7,800.00",,135,Active
4,2021-135,2021-01-22,17,1,"Speakerphone, Mid-range portable USB and Bluetooth Speakerphone Speak 510, Jabra Speak 510","8,985.00",,135,Active
5,2021-172,2021-01-22,17,1,"4K Webcam with HDR abd Windows Hello support, 4K Ultra HD video calling, Logitech C930e","9,580.00",,135,Active
6,2019-656,2019-08-16,17,1,"Calculator, two-way power system with solar cell and one button type battery",400,from C. Kimmakim,135,Active
7,2021-347,2021-05-17,17,1,"Office Chair, Jersey","3,795.00",,135,Active
8,2016-12-0036,2016-12-13,30,1,ASUS X550ZE Laptop w/ Carrying Case and Mouse,"21,533.13",,135,Active
9,2021-1051,2021-08-03,17,1,"UPS, EATON 5L 1200 USB, 1200V/600W,230V","6,800.00",from: P. Castro,135,Active
10,2021-1907,2021-11-23,30,1,"External Hard Disk Drive, 2TB, ADATA","4,272.49",,135,Active
11,2018-069,2018-01-29,30,1,"Computer table, wood, mahogany like color laminated wood with color, 45""x22"" 2, CST-838","3,995.00",from: R. Oyammi,135,Active
12,2020-1863,2020-12-01,30,1,"Printer, Epson L5190","14,900.00",from: R. Oyammi,135,Active
14,22-06-040,2022-06-14,30,1,Assembled CPU,"37,928.00",,135,Active
15,"2022-437,2022-438",2022-07-07,17,2,Puncher,170,,135,Active
16,2022-457,2022-08-04,17,1,"Tape Dispenser, HBW",113.05,,135,Active
17,2022-458,2022-08-04,17,1,"Calculator, Casio",363.85,,135,Active
18,"2022-439,2022-440",2022-07-07,17,2,"Stapler, standard type",95,,135,Active
19,1229-2K,,30,1,Filing cabinet w/ shelves & cover (wooden),"6,500.00",cash Section,135,Active
20,2022-602,2022-10-18,17,1,"Computer Chair.Mesh Chair, Chrome Legs , with arm rest & gas lift, color black","3,495.00",,135,Active
21,2022-614,2022-10-20,17,1,"Executive Chair, heavy duty, high quality leatherette material, adjustable height, reclinable up to 150 degrees","3,850.00",,135,Active
22,2022-684,2022-12-02,17,1,Gaming Mouse,490,,135,Active
23,"2023-036,2023-037",2023-01-13,30,2,"Keyboard, A4TEch",450,,135,Active
24,"2023-039,2023-040,2023-041",2023-01-13,30,3,"Mouse, A4TEch",380,,135,Active
25,"2023-284,2023-285",2023-01-13,17,2,"Mouse, Wired, A4Tech",200,,135,Active
26,"2023-332,2023-333,2023-334,2023-335",2023-06-14,30,4,"Executive Chair, High back, Black","6,720.00",,135,Active
27,SPLV-2024-04-566,2024-04-05,30,1,"Executive Office Chair, Black Synthetic Leather, with lumbar support, heavy duty","4,500.00",,135,Active
28,SPHV-2024-03-419,2024-03-13,30,1,"Monitor, AOC 27""","6,850.00",,135,Active
29,SPHV-2024-10-941,2024-10-04,17,1,"Monitor, Samsung 27""","6,950.00",,135,Active
30,SPHV-2024-10-944,2024-10-04,17,1,"Printer, Epson L5290","14,800.00",,135,Active
31,SPLV-2024-12-1077,2024-11-05,30,1,"Wirelss Mouse, Logitech",700,,135,Active
1,ICS 15-335,2015-09-21,17,1,Hand Truck,"2,035.00",L. Martin,417,Active
2,ARE 15-71,2015-06-22,30,1,Executive Swivel Office Chair,"3,713.00",L. Martin,417,Active
3,ARE 15-77,2015-07-03,30,1,Office Table with 4 drawers,"5,197.00",K. Lonogan,417,Active
1,2017-372,2017-08-04,30,1,Swivel Chair,"3,795.00",,479,Active
2,2019-01-022,1905-07-10,30,1,"Tablet, android Samsung TAB S2,8""","22,098.00",,479,Active
3,2019-12-084,2019-12-04,30,1,"Laptop, Hp Elitebook x 360 1030 G2, processor: Intel core i5-7th Gen processor base clock speed, 2.5 Ghz Max turbo frequency 3.1GHz Max turbo frequency 3.1 Ghz cache 3mb cache, 2 cores; Memory 8gb DDR4-2133onboard; storage/hard disk-256GB solid state drive; camera-720p HD camera: SN: 5CG8491M3Q","68,640.00",,479,Active
4,21-01-17,2020-11-20,30,1,Diesel Generator (Model Promate 8100D ES),"78,000.00",,479,Active
5,2021-1700,2021-11-08,30,1,"Headset Microphone, Logitech H390","1,995.00",,479,Active
6,2021-1556,2021-09-30,30,1,"Printer with Scanner, Epson L5190","14,800.00",,479,Active
7,"2021-1222,2021-1223",2021-08-11,17,2,"Puncher, paper, heavy duty, with two hole guide",150,,479,Active
8,"21-12-177,21-12-178",2021-12-03,30,2,Laptop Acer Travel Mate P2,"43,800.00",,479,Active
9,21-09-90,2021-09-03,30,1,Assembled CPU,"44,903.00",,479,Active
10,"2021-1028,2021-1035, 2021-1066",2021-08-03,17,3,"UPS, EATON 5L 1200USB, 1200VA/600W, 230V","6,800.00",,479,Active
11,"2021-1317, 2021-1321",2021-09-03,17,2,"Keyboard, multi media laser priting, USB wired and 1.5meter cable",700,,479,Active
12,"2021-1327,2021-1401",2021-09-03,17,2,"Mouse, optical, USB connection type",400,,479,Active
13,21-08-79,2021-08-03,30,1,Assembled CPU,"44,603.00",,479,Active
14,2022-058,2022-01-13,30,1,"All-in-One Wireless Printer, HP 615","13,990.00",,479,Active
15,22-01-006,2022-01-10,30,1,"Laptop, Lenovo Legion 5","67,000.00",,479,Active
16,2022-114,2022-01-24,30,1,"Powerstation for Cellphone and Computer Laptop, Promate 240s","10,800.00",,479,Active
17,2022-079,2022-01-24,17,1,"OTG-USB, 32GB, Sandisk","1,695.00",,479,Active
18,2020-1502(2),2020-08-07,17,1,Webcam for Voice Over Internet Protocol Calls,"8,900.00",from: B. Andaya,479,Active
19,2020-1496,2020-09-07,17,1,JABRA Speak 410 (Speakerphone for voice over Internet Protocol Calls),"6,160.00",from: B. Andaya,479,Active
20,21-01-05,2020-06-16,30,1,"Photocopier, Ineo 206","50,000.00",from: B. Andaya,479,Active
21,183-12,2012-12-12,30,1,Refrigerator,"9,500.00",from: B. Andaya,479,Active
22,2018-01-002,2017-12-21,30,1,"Projector, EPSON","47,300.00",from: B. Andaya,479,Active
23,2019-049,2019-01-15,30,1,"Televison, Full HD w/ Smart TV Functionally, Pensonic","9,400.00",from: B. Andaya,479,Active
24,2017-523,2017-10-13,30,1,"Automatic Voltage Regulator (AVR), 5KVA, 5,000 watts, SVC 5000N","8,000.00",from: B. Andaya,479,Active
25,2020-051,2020-01-13,30,1,"Printer, 3-in-1, Refillable Ink Tank System Printer, Epson L3110","8,050.00",from: B. Andaya,479,Active
26,2021-1463,2021-09-14,17,1,"External Hard Drive, 1TB,Toshiba","2,950.00",from: B. Andaya,479,Active
27,2022-430,2022-07-01,17,1,"Lateral Filing Cabinet, 4 drawers","12,730.00",,479,Active
28,"2022-543,2022-544,2022-545",2022-09-30,17,3,"Mouse, A4Tech",150,,479,Active
29,SPLV-2024-08-788,2024-08-22,30,1,Whiteboard  3x5 ft.,"2,029.00",,479,Active
30,SPLV-2024-08-789,2024-08-22,30,1,Corkboard 3x4 ft.,"1,350.00",,479,Active
1,2017-12-056,2017-12-08,30,1,"Desktop Computer, HP 280 G2 Microtower","49,151.74",,157,Active
2,2018-268,2018-07-09,17,1,"Printer, toner-type, HP Laserjet Pro M203dn","13,462.00",,157,Active
3,2020-089,2020-01-24,17,1,"Steel Cabinet, 4 layers","6,995.00",,157,Active
4,2020-1110,2020-06-24,17,1,"Multifunctional Wood Desk Organizer, with FHC Cluster print design",400,,157,Active
5,2020-1284,2020-06-29,30,1,"Extension Cord, durable made with high quality materials, easy install, 3 outlet with cord, 5 meter, OMNI",300,,157,Active
6,2020-1168,2020-03-09,30,1,"Steel Cabinet, 400W x 550H x 650mmD, Black","3,880.00",,157,Active
7,2020-1418,2020-07-16,30,1,"Xenon LED TV 32""","11,280.00",at Loakan WH,157,Stock
8,"2020-1655,2020-1656,2020-1657",2020-10-14,30,3,"Steel Cabinet, 4 layers w/ keys, Black powder coated w/ centralized lock, 1316mm x 600mm, JERSEY Brand","7,000.00",,157,Active
9,2020-1741,2020-11-03,17,1,"TV Electronic Antenna, Magnetic, 5M",600,at Loakan WH,157,Stock
10,2020-1760,2020-11-17,30,1,"TV Mount/Stand, Model: PSW831, Full M otion, Capacity Weight max. 25kg/55lbs., for screen size 17""-42"", Distance form wall: 55-342mm","1,900.00",,157,Active
11,2020-1884,2020-12-04,17,1,"Tape Dispenser, table top, for 24mm width tape",130,,157,Active
12,2020-1901,2020-12-23,17,1,Wall Charger,450,,157,Active
13,2021-003,2021-01-05,17,1,"Extension Wire, Wheel Tyoe, 15 meters, 3 gang","1,995.00",,157,Active
14,2021-029,2021-01-13,17,1,"Multimedia Presenter with USB Receiver 1, Pisen Rechargeable","1,100.00",,157,Active
15,2021-263,2021-02-15,30,1,"USB Speakerphone, Jabra Speak 510 UC Conference Kit","7,280.00",,157,Active
16,2021-126,2021-01-22,17,1,"Speakerphone, Mid-range portable USB and Bluetooth Speakerphone Speak 510, Jabra Speak 510","8,985.00",,157,Active
17,2021-163,2021-01-22,17,1,"4K Webcam with HDR abd Windows Hello support, 4K Ultra HD video calling, Logitech C930e","9,580.00",,157,Active
18,2020-1975,2020-12-09,30,1,"Desk Monitor, Lenovo 1271-28","10,350.00",,157,Active
19,2021-284,2021-03-05,17,1,"Adapter, USB 2.0 to Rj45 Ethernet",315,,157,Active
20,"2021-295,2021-296,2021-297",2021-03-11,17,3,"Steel Cabinet, Small Size","4,300.00",,157,Active
21,21-04-030,2020-12-07,30,1,"Laptop iP, slim I5-1035GI, 8GB DDR4, 512GB SSD, 2GB MX330VIN, 15.6"" FHD, WIN10)","48,000.00",,157,Active
22,2021-710,2021-05-10,17,1,"Puncher, heavy duty, 2-hole (7cm hole punch) with centering gauge",220,,157,Active
23,2020-1766,2020-10-22,30,1,USB Bluetooth Adapter for PC,500,,157,Active
24,2020-1774,2020-10-22,30,1,External USB Sound Card,500,,157,Active
25,2021-1897,2021-11-23,30,1,"Black & White Laserjet Printer, Hewlett Packard","11,180.00",,157,Active
26,2021-1904,2021-11-23,30,1,"External Hard Disk Drive, 2TB, ADATA","4,273.49",,157,Active
27,2022-642,2022-09-08,30,1,CPU Assembled,"32,327.00",,157,Active
28,2022-471,2022-09-02,30,1,"Monitor, Viewplus 23.8""","5,671.00",,157,Active
29,2022-616,2022-10-26,30,1,"UPS, Secure 1000VA","3,945.00",,157,Active
30,2022-565,2022-09-30,17,1,"Mouse, A4Tech",150,,157,Active
31,"2023-059,2023-060",2023-02-17,30,2,Powered Air Purifying Respirator (PAPR),"15,666.00",,157,Active
32,2023-340,2023-07-17,23,1,"Keyboard & Mouse, Logitech",700,,157,Active
1,492-10,2010-11-24,17,1,"Cabinet, steel, 2 drawers, lateral","7,295.00",,309,Active
2,2020-1342,2020-07-02,30,1,"Portable/Mobile Scanner, USB powered, Brother DS720D, 8ppm/ Black, 8.5 x 32''","14,990.00",,309,Active
3,2020-1364,2020-07-22,17,1,"Corkboard, 31.5"" x 19.69"", without stand",845,,309,Active
4,"2020-1561,2020-1562",2020-08-20,30,2,"Mop Bucket, heavy duty, hard plastic","2,332.00",,309,Active
5,"2020-1602,2020-1603",2020-10-08,17,2,"Large Bulletin Cork Board, with silver aluminum frame 36 x 60 inches (5 x 3ft.), wall type","2,000.00",,309,Active
6,2020-1604,2020-10-08,17,1,"HDMI Cable, 10m, 1080p resolution at 30Hz refresh rate","2,750.00",,309,Active
7,"2020-1605,2020-1606",2020-10-08,17,2,"HDMI Cable, 10m, 1080p resolution at 30Hz refresh rate","2,500.00",,309,Active
8,"2020-1610,2020-1611,2020-1612,2020-1613,2020-1614,2020-1615,2020-1616,2020-1617,2020-1618,2020-1619,2020-1620,2020-1621,2020-1622,2020-1623,2020-1624,2020-1625,2020-1626,2020-1627,2020-1628,2020-1629,2020-1630,2020-1631,2020-1632,2020-1633,2020-1634",2020-10-07,17,25,"Dual OTG Flash Drive 3.0, 32GB meta; pen drive, waterproof, with lanyard",399,,309,Active
9,2018-289,,30,1,"HDMI Cable, 5.0meters",900,,309,Active
10,"2020-1683,2020-1684",2020-10-16,30,2,"Smartphone, Note 9 Xiaomi, 18W, 6/128GB","14,500.00",,309,Active
11,2020-1781,2020-11-19,17,1,"Whiteboard, mobile magnetic with stand (48 x 26in), silver frame","1,315.00",,309,Active
12,2020-1899,2020-12-21,17,1,"Speaker, Konzert KX-450+","6,850.00",,309,Active
13,"2020-1987,2020-1988",2020-12-21,17,2,"Wall Fan, 16"", Brand: Standard, Model: SWF-16Q","1,450.00",,309,Active
14,"2020-1990,2020-1991",2020-12-21,17,2,"Swivel Chair, Executive, faux leather, high back, w/ arm rest, 6 metal feet and wheels, heavy duty, adjustable","2,950.00",,309,Active
15,"2020-1992,2020-1993",2020-12-21,17,2,"Multi-Outlet 3 plug Heavy Duty Extension Cord, 220V",750,,309,Active
16,"2021-016,2021-017",2021-01-08,17,2,"Hard Disk Drive, 2TB, Seagate Slim","4,995.00",,309,Active
17,"2021-065,2021-066",2021-01-18,17,2,"Perforator (Puncher), Carl",850,,309,Active
18,"2021-069,2021-070",2021-01-15,17,2,Multimedia Speaker System,"6,850.00",,309,Active
19,2021-071,2021-01-18,17,1,"Scanner, Brother DS-720D","11,800.00",,309,Active
20,"2021-075,2021-076",2021-01-20,17,2,"Portable Connectivity Speaker, anker soudcore Flake 2","6,495.00",,309,Active
21,"2021-077,2021-078,2021-079,2021-080",2021-01-20,17,4,"Headphone, Phillips","3,695.00",,309,Active
22,"2021-236,2021-237,2021-238",2021-09-30,17,3,Multimedia Presenter,"1,100.00",,309,Active
23,2021-239,2021-02-09,23,1,"Kitchen Organizer/ Food Storage Rack, 4 tier","3,200.00",,309,Active
24,"2021-240,2021-241",2021-02-09,17,2,"Shoe Rack, Wood,  4 layer, durable","2,000.00",,309,Active
25,"2021-242,2021-243,2021-244,2021-245,2021-246,2021-247,2021-248,2021-249,2021-250,2021-251",2021-02-09,17,10,"Camping Family Tent, waterproof, automatic, outdoor","1,420.00",,309,Active
26,"2021-483,2021-484,2021-485,2021-486",2021-03-30,17,4,Window Brocade Curtain,"1,080.00",,309,Active
27,"2021-487,2021-488,2021-489,2021-490,2021-491,2021-492,2021-493,2021-494,2021-495,2021-496,2021-497,2021-498,2021-499,2021-500,2021-501",2021-03-30,17,15,Comforter/Warmer,"1,820.00",,309,Active
28,"2021-574,2021-575",2021-03-30,17,2,Trash Bin,"5,150.00",,309,Active
29,"2021-552,2021-553,2021-554",2021-03-30,17,3,Recheargeable Emergency LED solar torch light,970,,309,Active
30,2021-579,2021-03-30,17,1,Percolator Coffee Maker,"5,400.00",,309,Active
31,21-05-34,2021-01-18,30,1,"LCD Projector, Epson EB-U42","41,500.00",,309,Active
32,"2021-511,2021-512,2021-513",2021-06-16,17,3,"Megaphone, 25watt, Siren (Loud Hailer), volume control, detachable mircrophone, effective distance: 700M, takes 8XUM - 1 battery, Horn diamter: 230mm, with recording","2,485.00",,309,Active
33,"2021-835,2021-836,2021-837,2021-838,2021-839,2021-840",2021-07-12,30,6,"Wired Mouse, Logitech",350,,309,Active
34,2021-841,2021-07-12,17,1,"Laminating Machine, HD-9","3,700.00",,309,Active
35,2021-842,2021-07-12,17,1,"Telephone Set, Panasonic",850,,309,Active
36,2021-845,2021-06-02,17,1,"8-Port 10/100Mbps Desktop Network Switch, TP Link TL-SF10080; SN: 219B11000116",800,,309,Active
37,"2021-985,2021-986",2021-07-29,17,2,Plastic Storage Box,"1,450.00",,309,Active
38,"2021-1098,2021-1099",2021-07-30,30,2,"Glue Gun, heavy duty",400,,309,Active
39,21-08-55,2021-01-11,30,1,"Laptop, HP X360, DH1062 TX","57,995.00",,309,Active
40,"2021-1197,2021-1198",2021-07-30,4,2,"Heavy Duty Stapler, 10mm",180,,309,Active
41,"2022-062,2022-063,2022-064,2022-065,2022-066",2022-01-13,17,5,Portable Butane Gas Stove,"1,595.00",,309,Active
42,2022-067,2022-01-13,17,1,Burner Gas Stove,"2,950.00",,309,Active
43,22-08-056,2022-07-21,30,1,Water Test Kit,"166,599.00",,309,Active
44,2016-12-058,2016-12-13,30,1,Acer Veriton X4110G Desktop Set,"26,509.60",,309,Active
45,750AB-2K,1989-12-31,17,1,"Filing Cabinet, 4 drawers, steel","5,880.00",,309,Active
46,2022-047,2022-01-10,30,1,"Monitor, Atlas 22""","6,500.00",,309,Active
47,22-11-087,2022-11-02,30,1,CPU Assembled,"44,603.00",,309,Active
48,2021-1886,2021-12-09,17,1,"Powerbank, 6000MAH",795,,309,Active
49,2023-171,2023-04-14,17,1,"Swivel Chair, Shivtech, Gaming Chair","8,995.00",,309,Active
50,2021-510,2021-05-27,17,1,"Multifunction Printer, Epson L5190","14,990.00",from: J. Pira,309,Active
51,2019-726,2019-10-11,17,1,"LED Monitor, 22 inches with DVI port for desktop computer, Viewsonic VA 2261-2","4,900.00",from: M. Piluden,309,Active
52,2020-092,2020-01-24,17,1,"Steel Cabinet, 4 layers","6,995.00",from: M. Piluden,309,Active
53,2020-1169,2020-03-06,30,1,"Steel cabinet, 400W x 550H x 650mm, Black","3,880.00",from: M. Piluden,309,Active
54,2020-1285,2020-06-25,30,1,"Extension Cord, durable, made with high quality materials, easy install, 3 outlet with cord, 5 meter, OMNI",300,from: M. Piluden,309,Active
55,2020-1105,2020-06-22,17,1,"Multifunctional Wood Desk Organizer, with FHC Cluster print design",400,from: M. Piluden,309,Active
56,2019-651,2019-08-02,17,1,"Extension Cord, 3 outlet with cord",288,from: M. Piluden,309,Active
57,2020-1768,2020-10-22,30,1,USB Bluetooth Adapter for PC,500,from: M. Piluden,309,Active
58,2020-1776,2020-10-22,30,1,External USB Sound Card,500,from: M. Piluden,309,Active
59,2021-028,2021-01-13,17,1,"Multimedia Presenter with USB Receiver 1, Pisen Rechargeable","1,100.00",from: M. Piluden,309,Active
60,2021-286,2021-03-05,17,1,"Adapter, USB 2.0 to Rj45 Ethernet",315,from: M. Piluden,309,Active
61,2021-709,2021-05-10,17,1,"Puncher, heavy duty, 2-hole (7cm hole punch) with centering gauge",220,from: M. Piluden,309,Active
62,2020-1018 ,2020-01-30,30,1,Powerbank,"6,250.00",from: M. Piluden,309,Active
63,2021-1821,2021-11-26,17,1,"Wireless Mouse for Computer, Rapoo","1,095.00",from: M. Piluden,309,Active
64,2021-1823,2021-11-26,17,1,"Headset, JBL","6,000.00",from: M. Piluden,309,Active
65,2021-1824,2021-11-26,17,1,"HP Pro Web Camera with Tripod, Logitech C922 PRO","8,900.00",from: M. Piluden,309,Active
66,2021-1865,2021-12-09,17,1,"Portable Conference Omni-Directional Speakerphone, Jabra Speak 510 Wireless","9,650.00",from: M. Piluden,309,Active
67,2020-1800,2020-11-20,17,1,"Keyboard, USB Wired, A4Tech KRS 85",595,from: M. Piluden,309,Active
68,2024-091,2024-01-18,30,1,"Laptop, Asus TUF FX506, 15.6""","49,999.00",,309,Active
69,2024-217,2024-01-24,17,1,"Swivel Chair, High Back, Leatherette, Black, Chrome Base Jersey JS-289","4,485.00",,309,Active
70,2024-170,2024-01-12,30,1,"Portable Tablet, Samsung S9 fe+, 12.4 inches, w/ book cover, keyboard and adapter","43,900.00",,309,Active
71,"2024-175,2024-176",2024-01-12,30,2,"Monitor, Asus 27""","11,300.00",,309,Active
72,2024-237,2024-01-18,17,1,"Extension Cord, 15M, Omni","1,850.00",,309,Active
73,2024-203,2024-01-18,30,1,"Wireless Bluetooth Speaker with Mic, Jabra Speak 510","7,940.00",,309,Active
74,SPLV-2024-02-302,2024-02-14,17,1,"Folding Table, 4 ft., heavy duty","2,500.00",,309,Active
75,"SPHV-2024-07-649,SPHV-2024-07-650,SPHV-2024-07-651,SPHV-2024-07-652,SPHV-2024-07-653,SPHV-2024-07-654,SPHV-2024-07-655,SPHV-2024-07-656",2024-06-25,30,8,"Ergonomic Office Chair, Gaming Chair","7,500.00",,309,Active
76,2022-480,2022-09-05,30,1,"Laptop, Acer Aspire 7","40,500.00",from: V. Ingen,309,Active
77,SPHV-2024-07-710,2024-07-17,30,1,"Portable tablet, Samsung Tab S9+","42,900.00",,309,Active
78,SPHV-2024-10-893,2024-10-01,17,1,"Portable Aircon, Fujidenzo ","18,700.00",,309,Active
79,SPHV-2024-07-701,2024-07-17,30,1,"Printer, Epson L5290","14,800.00",,309,Active
80,"SPLV-2024-11-1026,SPLV-2024-11-1027,SPLV-2024-11-1028,SPLV-2024-11-1029,SPLV-2024-11-1030",2024-11-25,17,5,"Cooler, Box, Orocan 8L, Red","1,581.00",,309,Active
1,2018-520,2018-10-23,30,1,"LAPTOP, ACER ASPIRE ES 14, Intel Celeron N3160, 2 GB DDR, 500GB 11.6"", Endless OS","14,900.00",from: A. Baigen,265,Active
2,"2018-521,2018-522,2018-523",2018-10-23,17,3,"EXTENSION CORD, 4 gang for universal outlet","1,400.00",from: A. Baigen,265,Active
3,"2019-768,2019-769",2019-10-28,17,2,"Individual Cell Battery ( with LED charge indicator) with 4 A4 size, at least 1500 mAh, 1500 cycle, Nickel-Metal Hydride Rechargeable batteries","1,295.00",from: A. Baigen,265,Active
5,2018-519,2020-01-08,30,1,Laptop Acer Aspire ES 14,"14,900.00",from: A. Baigen,265,Active
7,2020-1551,2020-09-17,30,1,"Tripod for Web Cam, with rubberized joint rings and feet for grip","1,000.00",from: A. Baigen,265,Active
8,2020-1727,2020-10-28,17,1,"Extension Cord (Wheel), Omni 15M","1,995.00",from: A. Baigen,265,Active
9,2020-1783,2020-11-17,30,1,"UPS, APC 1100 VA","7,100.00",from: A. Baigen,265,Active
10,2020-1909,2020-12-04,17,1,"Shelf, metal frame, 4-5 layers, 300*100*200","8,000.00",from: A. Baigen,265,Active
13,2018-634,2018-11-06,30,1,"Printer, Multifunction, Colred, Brother T810W","14,500.00",from: A. Baigen,265,Active
14,"21-09-108,21-09-114",2021-09-07,30,2,"Laptop Computer, Acer Nitro 5","50,562.00",,265,Active
15,2020-06-0146,2020-06-03,30,1,"Desktop Computer, Acer Veriton M2640G","39,208.00",,265,Active
20,"2017-509,2017-510",2017-11-28,30,2,"Revolving Stool, w/ 4 legs","3,200.00",from: G. Austria,265,Active
22,2020-1407,2020-07-16,30,1,"Xenon LED TV 32""","11,280.00",from: G. Austria,265,Active
23,"2019-318,2019-319",2019-03-22,30,2,"Label Printer, QL 800 Brother","12,650.00",from: G. Austria,265,Active
27,"2020-1724,2020-1725",2020-10-28,17,2,"Extension Cord (Wheel), Omni 15M","1,995.00",from: G. Austria,265,Active
33,"2021-1656,2021-1657,2021-1658",2021-10-25,17,3,Specimen Transport Box,"1,800.00",from: G. Austria,265,Active
34,2022-205,2022-03-11,30,1,"UPS, APC 1200VA/650W","6,420.00",,265,Active
35,2022-703,2022-11-28,17,1,"Paper Shredder, Deli 9906","19,890.00",,265,Active
36,2022-743,2022-12-22,17,1,"Battery, Charger, Jiabao","1,800.00",,265,Active
37,2023-052,2023-01-19,17,1,HDMI to VGA Adapter,180,,265,Active
38,2022-739,2022-12-21,17,1,"Mouse, A4Tech",350,,265,Active
39,2023-815,2023-12-04,17,1,"Swivel Chair, executive faux leather, high back, with fixed armrest, 5 metal feet and wheels, heavy duty, tilt lock mechanism, adjustable, Black","7,500.00",,265,Active
40,"2020-06-0161,2020-06-0162",2020-06-24,30,2,CPU Assembled,"53,054.96",from: K. Raguindin,265,Active
1,2019-1020,2019-12-13,17,1,"Printer, 3-in-1 color inkjet, ink technology, EPSON L3110","7,950.00",from: L. Say-Awen,366,Active
2,ICS 16-298,2016-05-23,30,1,Windows Combi Blinds,"15,000.00",from: L. Say-Awen,366,Active
3,2019-475,2019-05-31,30,1,"Extension Cord, heavy Duty, Universal outlet, ICC Accredited, 4 gang, 12 ft.",650,from: L. Say-Awen,366,Active
4,2019-713,2019-10-01,30,1,"Office Chair, med-bak, 360 dwegrees, swivel function","3,495.00",from: L. Say-Awen,366,Active
